% Module: Sweep, ID: c1p10t17p1cfm0
% Device: dev1389
% Time: 2020/02/17 16:05:55
% Demod 3 Sample R,  /module/c1p10t17p1cf/sweep/dev1389/demods/2/sample.R
% Phase (deg); Demod 3 Sample R Amplitude (V)
-526.4321608040201; 0.0154777583301
-515.5778894472361; 0.0155442103961
-504.7236180904522; 0.0155545286942
-493.8693467336683; 0.0155973513841
-483.0150753768844; 0.0154862108848
-472.1608040201005; 0.0156439909972
-461.3065326633165; 0.0154534106944
-450.4522613065326; 0.0154464450008
-439.5979899497487; 0.0154506536383
-428.7437185929648; 0.0154857733713
-417.8894472361809; 0.015501342701
-407.0351758793969; 2.18241252182
-396.180904522613; 2.17845048445
-385.3266331658291; 2.17645628177
-374.4723618090452; 2.17510502428
-363.6180904522613; 2.17414804726
-352.7638190954773; 2.173310063
-341.9095477386934; 2.17266366511
-331.0552763819095; 2.17223278212
-320.2010050251256; 2.17179301818
-309.3467336683417; 2.17153552892
-298.4924623115577; 2.17083464262
-287.6381909547738; 2.16754158639
-276.7839195979899; 2.15884742487
-265.929648241206; 2.13929342319
-255.0753768844221; 2.09720009142
-244.2211055276381; 2.01253346782
-233.3668341708542; 1.90236752303
-222.5125628140703; 1.78978668652
-211.6582914572864; 1.67751082677
-200.8040201005025; 1.56232640044
-189.9497487437185; 1.44898439479
-179.0954773869346; 1.33668135144
-168.2412060301507; 1.22280891409
-157.3869346733668; 1.11349679035
-146.5326633165829; 0.996281864377
-135.6783919597989; 0.88495786283
-124.824120603015; 0.774555764261
-113.9698492462311; 0.65644382016
-103.1155778894472; 0.546796569485
-92.2613065326633; 0.431538223018
-81.40703517587929; 0.317807192161
-70.55276381909539; 0.208029738054
-59.69849246231149; 0.0942705742548
-48.84422110552759; 0.0190795233186
-37.98994974874358; 0.0164722390744
-27.1356783919598; 0.0158426762884
-16.28140703517579; 0.0161157633843
-5.427135678391778; 0.0161300528489
5.427135678392006; 0.0159732944954
16.28140703517602; 0.0154572061452
27.1356783919598; 0.0154788489826
37.98994974874381; 0.0152438717827
48.84422110552782; 0.0153654130338
59.69849246231161; 0.0155809340795
70.55276381909562; 0.0155274695444
81.4070351758794; 0.0155447568737
92.26130653266341; 0.0157720463304
103.1155778894474; 0.0152263759435
113.9698492462312; 0.0156405432746
124.8241206030152; 0.0154992750266
135.678391959799; 0.0155105600884
146.532663316583; 0.0154383396653
157.386934673367; 0.0156004159755
168.2412060301508; 0.0157715742413
179.0954773869348; 0.0156124246957
189.9497487437186; 0.0155811117996
200.8040201005026; 0.0154691120467
211.6582914572866; 0.0151486524996
222.5125628140704; 0.015496898067
233.3668341708544; 0.015532736335
244.2211055276382; 0.015438843897
255.0753768844222; 0.0154775114318
265.9296482412062; 0.0155378822778
276.78391959799; 0.0154411485956
287.638190954774; 0.0152420076341
298.4924623115578; 0.0153858456843
309.3467336683418; 2.18399333871
320.2010050251258; 2.1795059744
331.0552763819096; 2.17739151938
341.9095477386936; 2.17582148526
352.7638190954774; 2.17458690036
363.6180904522614; 2.17384745502
374.4723618090454; 2.1731827864
385.3266331658292; 2.17263061864
396.1809045226132; 2.17233567414
407.035175879397; 2.17200260211
417.889447236181; 2.17159366977
428.743718592965; 2.16981377672
439.5979899497488; 2.16306866299
450.4522613065328; 2.14788711867
461.3065326633166; 2.1167174798
472.1608040201006; 2.04662406428
483.0150753768846; 1.93923174754
493.8693467336684; 1.82880878189
504.7236180904524; 1.71386648476
515.5778894472362; 1.60068822821
526.4321608040202; 1.49176413459
537.2864321608042; 1.37402065974
548.140703517588; 1.2607692448
558.994974874372; 1.14988311155
569.8492462311558; 1.0344955076
580.7035175879398; 0.924775000312
591.5577889447238; 0.809971307432
602.4120603015076; 0.694934869335
613.2663316582916; 0.583144409919
624.1206030150754; 0.468856001538
634.9748743718594; 0.355631609812
645.8291457286434; 0.243996195865
656.6834170854272; 0.128317744974
667.5376884422112; 0.0188515812471
678.391959798995; 0.0161757847115
689.246231155779; 0.0160727224306
700.100502512563; 0.0159509769511
710.9547738693468; 0.0160037506769
721.8090452261308; 0.0157677221968
732.6633165829146; 0.0156291324193
743.5175879396986; 0.0154897340986
754.3718592964826; 0.0156645817384
765.2261306532664; 0.015806610145
776.0804020100504; 0.0154052782275
786.9346733668342; 0.0154629752941
797.7889447236182; 0.0154827626561
808.6432160804022; 0.0154141595118
819.497487437186; 0.0152708033233
830.35175879397; 0.0152698875731
841.2060301507538; 0.0153282431903
852.0603015075378; 0.0153109595768
862.9145728643218; 0.0151722580979
873.7688442211056; 0.0153170924244
884.6231155778896; 0.0153235245324
895.4773869346734; 0.0153279937056
906.3316582914574; 0.0152453289286
917.1859296482414; 0.015084753264
928.0402010050252; 0.0153968376728
938.8944723618092; 0.0154918843099
949.748743718593; 0.0150108886038
960.603015075377; 0.0153258469609
971.4572864321608; 0.0153321393605
982.3115577889448; 0.0149842510297
993.1658291457288; 0.014957916652
1004.020100502513; 0.015113894966
1014.874371859297; 0.0150788557559
1025.72864321608; 2.18465284188
1036.582914572864; 2.17978295799
1047.437185929648; 2.1778584904
1058.291457286432; 2.17642556584
1069.145728643216; 2.17524583991
1080; 2.17455306297
1080; 2.17337039836
1069.145728643216; 2.17143191126
1058.291457286432; 2.16956622859
